"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
23,34,1.16119918127274,2378.0855158261,1.11144687351804,1.11931803835079,1.14379070785341,1.16101018547394,1.17840162761466,1.20372500692347,1.21202552995639,2020-03-29
24,35,1.15372280376533,2431.03128431473,1.10498223191161,1.11269511155143,1.13667234671784,1.15354029701388,1.17057430747619,1.19537304390312,1.20350054023372,2020-03-30
25,36,1.15772302786819,2534.2038496425,1.1097267255523,1.11732413347023,1.14093812249149,1.1575467349839,1.1743157536572,1.19872327404153,1.20672118234008,2020-03-31
26,37,1.16556731884242,2667.75650710458,1.11830062618828,1.125785144482,1.14904342710537,1.16539757421599,1.18190616926144,1.20592850818873,1.21379865090047,2020-04-01
27,38,1.17254884789056,2814.46879976207,1.1261053015092,1.13346214029796,1.15631871652196,1.17238601824725,1.1886014759892,1.21219098274868,1.21991773685079,2020-04-02
28,39,1.17321127396065,2945.51790914862,1.12776403351983,1.13496545903979,1.15733472859523,1.17305551276199,1.18891802141038,1.21198840496538,1.21954368800802,2020-04-03
29,40,1.16182624209153,3020.44683046791,1.11759045049844,1.12460169395195,1.14637691360267,1.16167727854192,1.1771131828445,1.19955891885938,1.2069085771521,2020-04-04
30,41,1.15001025498679,3082.06407736617,1.10687895746349,1.11371663116016,1.13495002421653,1.14986722374684,1.16491456489187,1.18679177174827,1.19395438343268,2020-04-05
31,42,1.14969825463715,3195.81175000253,1.10735146072661,1.1140664916833,1.13491583649092,1.14956038899744,1.16433038298223,1.18580029014776,1.19282852406061,2020-04-06
32,43,1.15234893282537,3332.51307753347,1.11072868585535,1.11733031044255,1.13782419915227,1.15221611205636,1.16672887615343,1.18782061920758,1.19472398598719,2020-04-07
33,44,1.1537316551247,3472.42675055569,1.11287774831105,1.11935956994942,1.13947830192801,1.15360387988121,1.16784571815133,1.18853959351181,1.19531169507376,2020-04-08
