"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
18,29,1.13704845536302,1473.6013577063,1.07597847758759,1.08559959703051,1.11558840892352,1.13675601533747,1.15818971079706,1.18949485603284,1.19978032950501,2020-03-24
19,30,1.11660359897015,1569.14968776167,1.0589797399653,1.06806538674611,1.09637129827844,1.11633875255532,1.13654718824362,1.16604522866892,1.17573254479666,2020-03-25
20,31,1.10465694963778,1674.60080168445,1.04974278913583,1.0584075700937,1.08539043072136,1.10441406204676,1.12365869431918,1.15173484270021,1.16095140880368,2020-03-26
21,32,1.0915133553055,1764.273579408,1.03894392782627,1.04724372379223,1.07308072083887,1.09128826592984,1.1097006173154,1.13655078870658,1.14536193716308,2020-03-27
22,33,1.06895850091883,1809.74982634962,1.01864011845218,1.02658786552065,1.05132271579529,1.0687480423138,1.08636486260133,1.11204703111006,1.12047289337329,2020-03-28
23,34,1.05048812289575,1853.578881189,1.00203939268609,1.00969464754508,1.03351397242575,1.05028968008173,1.06724594835988,1.09195850592232,1.10006457919369,2020-03-29
24,35,1.04992150964954,1946.60992634749,1.00266935519033,1.0101387573822,1.0333738290528,1.04973275415866,1.06626342538013,1.09034812510302,1.09824633870333,2020-03-30
25,36,1.06682055482478,2096.12959838442,1.02016579536124,1.02754438531583,1.05049024202876,1.06663957495827,1.08295357892435,1.10671406401766,1.11450380134676,2020-03-31
26,37,1.09561157905883,2293.55469998095,1.04917621932047,1.05652392763214,1.07936666207951,1.0954371292195,1.11166632567577,1.1352942955239,1.14303831687961,2020-04-01
27,38,1.12702224055725,2512.87237442049,1.08072267278978,1.08805256143189,1.11083309098934,1.12685375536349,1.14302772178497,1.16656663865903,1.17427929037568,2020-04-02
28,39,1.15207619721281,2720.85993059848,1.10607592326032,1.11336165414079,1.13599896284175,1.15191359589202,1.16797617724054,1.19134538874032,1.1990005161334,2020-04-03
29,40,1.16099096689111,2869.32304558874,1.11566533222259,1.1228466546536,1.14515502543554,1.16083438318598,1.17665621382825,1.19966940087684,1.20720644930806,2020-04-04
30,41,1.15975619807349,2978.97538890233,1.11533513484403,1.12237512951737,1.1442407813344,1.15960569851929,1.17510755266964,1.1976506347259,1.20503253366517,2020-04-05
31,42,1.16289260133414,3116.90234063396,1.11928031989405,1.12619424967802,1.14766443568202,1.16274798239823,1.17796311534571,1.20008426170442,1.20732673640005,2020-04-06
32,43,1.16981954806493,3278.58794623332,1.12690675246322,1.13371192502915,1.15484042679215,1.16968041816526,1.18464700133359,1.20640175615887,1.21352300386155,2020-04-07
33,44,1.17771145795094,3450.70456678525,1.13544996032391,1.14215389465442,1.16296428388888,1.17757747794813,1.19231257795054,1.21372603949051,1.22073434961442,2020-04-08
34,45,1.19302814149303,3676.49040671793,1.15127416597378,1.15789983243166,1.17846311098258,1.19289909733989,1.20745249854565,1.22859663211708,1.23551546129832,2020-04-09
35,46,1.21123843220028,3936.44570384535,1.16994970106212,1.17650381507873,1.19684081198026,1.21111420238351,1.22550062710735,1.24639680870016,1.25323314840965,2020-04-10
36,47,1.21946625322332,4150.65560663456,1.17883868051228,1.18528974014067,1.20530345247504,1.21934682855166,1.23349886679706,1.25405013486115,1.26077250398709,2020-04-11
37,48,1.22090425154129,4336.32383720203,1.18107859192254,1.18740399484746,1.2070247686923,1.22078967043722,1.23465882724755,1.25479535491028,1.26138106382017,2020-04-12
38,49,1.22343168819175,4543.69405135968,1.18439748598227,1.19059886793885,1.2098318230072,1.22332188317455,1.23691185270622,1.25663906342472,1.26308990114663,2020-04-13
39,50,1.23064585476692,4797.9985650691,1.19231631321695,1.19840750301583,1.21729545476154,1.23054063963206,1.24388155759121,1.26324310496483,1.26957332332421,2020-04-14
40,51,1.24018443341387,5085.00579116016,1.20251123789094,1.20849987088885,1.22706657406837,1.24008361181793,1.25319238503267,1.2722129076002,1.27843058799654,2020-04-15
41,52,1.24975430844237,5391.770169635,1.2127371159537,1.21862315963745,1.23686867416675,1.24965774990179,1.26253468220688,1.28121482721715,1.28732023355688,2020-04-16
42,53,1.25372255302474,5671.96044926453,1.21745287519135,1.22322156582137,1.24110052023453,1.25363018051593,1.26624388856022,1.28453863124506,1.29051717475123,2020-04-17
43,54,1.23536210971705,5763.65239662252,1.20016565433582,1.20576457921466,1.22311565643508,1.23527384970114,1.24751234884585,1.26526070313913,1.27106013814075,2020-04-18
44,55,1.19637455623885,5659.31722007073,1.16252160567996,1.16790720721159,1.18459646162628,1.19629025312764,1.20806075019932,1.22512947082057,1.23070659315537,2020-04-19
45,56,1.15301969936446,5490.61051018199,1.12050102621967,1.12567454264015,1.14170623623446,1.15293898958551,1.16424517900898,1.18064016445915,1.18599703831829,2020-04-20
46,57,1.10868161535826,5273.97882914862,1.07739723781618,1.08237435808876,1.09779751008324,1.10860392830575,1.11948103228807,1.13525387020467,1.14040748084841,2020-04-21
47,58,1.06531882619914,5023.05920499567,1.03512570323834,1.03992898688014,1.05481386978694,1.065243514197,1.07574168336381,1.09096556158545,1.0959399399181,2020-04-22
48,59,1.02754921413565,4783.37432436269,0.998240977857089,1.00290317023908,1.01735141530854,1.02747563679089,1.03766680470804,1.05244623702953,1.05727558326938,2020-04-23
49,60,0.990331686816108,4512.65364098869,0.961783766442932,0.966324488968507,0.980397263333162,0.990259242812178,1.00018713753233,1.01458599773855,1.01929129935513,2020-04-24
50,61,0.948091854763251,4169.87588357645,0.920276968992576,0.924700241265782,0.938410593801365,0.948020000821787,0.957694786212823,0.971728568588973,0.976315079391837,2020-04-25
51,62,0.906610234217494,3816.58702584565,0.879427971881255,0.883749584898865,0.89714678844813,0.906538448392448,0.915995424748505,0.929715751526018,0.934200448260276,2020-04-26
52,63,0.874040154312614,3523.09163562759,0.847263555366617,0.851519618668803,0.864715566311338,0.87396787546985,0.883285949646159,0.896807239688169,0.901227506681075,2020-04-27
53,64,0.850803070122597,3288.86773338623,0.824191541137737,0.828420335063679,0.841533643407505,0.850729705991942,0.859992521095105,0.873436056943115,0.877831520056395,2020-04-28
54,65,0.834891731425971,3097.66364171495,0.80824115167431,0.812475116798902,0.825606374940677,0.834816725104033,0.844095322003209,0.857564199493728,0.861968564475495,2020-04-29
