"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
15,26,1.52888375907709,1743.4430063618,1.44142314156943,1.45518309796802,1.4981075726122,1.52843687246048,1.55917279239236,1.6041087962112,1.61888396826231,2020-03-21
16,27,1.44947473506394,1773.83889480911,1.36939279423173,1.38200152721066,1.42131676751507,1.44907994625353,1.47720234091291,1.51829460757088,1.53180020501135,2020-03-22
17,28,1.38483739069821,1803.36813442549,1.31063471069697,1.32232536820437,1.35876380627975,1.38448292668779,1.41052457127906,1.4485585255562,1.46105444091917,2020-03-23
18,29,1.33619771160778,1842.73002682605,1.26659805894831,1.27756989291089,1.3117559565698,1.33587475824356,1.36028741244068,1.39592715644306,1.4076326648119,2020-03-24
19,30,1.30243471982356,1899.60967073587,1.23644243436902,1.24685133917675,1.27927274069401,1.30213706792767,1.325272225791,1.35903342056853,1.37011852182496,2020-03-25
20,31,1.27948112486951,1972.40786376517,1.21640031210388,1.22635527270573,1.25735292030432,1.27920447333214,1.30130774870005,1.33355066264761,1.34413411264316,2020-03-26
21,32,1.25477133924127,2029.11700218261,1.19435321556127,1.20389222541137,1.23358677796558,1.25451270565772,1.27567396114048,1.30653267753339,1.31665924478474,2020-03-27
22,33,1.2182619560819,2035.30286256266,1.16053794815919,1.16965431433372,1.1980281535199,1.21801889487049,1.23823079476134,1.26769870332184,1.2773672503978,2020-03-28
23,34,1.1847025173861,2033.2586075137,1.12931043037836,1.13806063516596,1.16529089281987,1.18447243162158,1.20386332266271,1.23212924451867,1.24140215321193,2020-03-29
24,35,1.17324983148328,2089.68359080725,1.11938931289409,1.12790037077694,1.15438122499278,1.17303026564954,1.19187908646874,1.21934825251296,1.22835811576551,2020-03-30
25,36,1.17972636517304,2203.9169090233,1.12683083756842,1.13519286118071,1.16120360205059,1.17951587476012,1.19801966988026,1.22497787225187,1.23381808436346,2020-03-31
26,37,1.19075063683597,2342.43066716251,1.13870687241483,1.14693783161051,1.17253422451404,1.19054887428523,1.20874710496208,1.23525167347254,1.24394099384728,2020-04-01
27,38,1.19957183722518,2485.91773174841,1.1484753818406,1.15655997834726,1.18169479579716,1.19937889286248,1.21723854716016,1.243241847741,1.25176477284327,2020-04-02
28,39,1.20224517462228,2617.11300625182,1.1522662169809,1.16017711624306,1.1847661300636,1.20206108448139,1.21952353969582,1.24494118196817,1.2532702952973,2020-04-03
29,40,1.19535744312326,2714.79538715234,1.14669621733183,1.154401093649,1.17834499908734,1.19518200422592,1.21217863844119,1.23691223129098,1.24501566816959,2020-04-04
30,41,1.19040656476424,2822.92118148368,1.14297206919145,1.15048519157562,1.17382859044807,1.19023924017605,1.20680213581905,1.23089869791421,1.23879194712186,2020-04-05
31,42,1.19512192652082,2979.10645405936,1.14866141012296,1.1560230078663,1.17889052877011,1.19496211546326,1.21117911154797,1.23476597571656,1.24249063139107,2020-04-06
32,43,1.20124279512229,3152.04683781988,1.15571602180032,1.16293236444752,1.18534367814063,1.20109020097901,1.21697556658131,1.24007373871101,1.24763674421523,2020-04-07
33,44,1.20535636922412,3328.4815701417,1.16081412734309,1.16787696996264,1.18980683078845,1.20521087216953,1.22074729872562,1.24333207251647,1.25072545509814,2020-04-08
34,45,1.2155797790106,3554.37348881805,1.17191512151646,1.17884154252497,1.20034275460851,1.2154412075433,1.23066574411293,1.25279069565318,1.26003192333626,2020-04-09
35,46,1.22789564665693,3814.84900252685,1.18509428220689,1.19188651680671,1.21296607692518,1.22776390715196,1.24268160466822,1.26435415215854,1.27144567281756,2020-04-10
